p,t,cp,mach,gam,aeat,rho,cf
3.50E+01,3.16E+03,4.17E+00,0.00E+00,1.15E+00,0.00E+00,2.88E+00,0.00E+00
3.49E+01,3.16E+03,4.17E+00,5.97E-02,1.15E+00,1.00E+01,2.87E+00,4.09E-02
2.00E+01,2.96E+03,3.61E+00,1.00E+00,1.16E+00,1.00E+00,1.77E+00,6.63E-01
3.48E+01,3.16E+03,4.17E+00,7.47E-02,1.15E+00,8.00E+00,2.87E+00,5.12E-02
3.47E+01,3.16E+03,4.17E+00,9.99E-02,1.15E+00,6.00E+00,2.86E+00,6.85E-02
3.45E+01,3.16E+03,4.16E+00,1.51E-01,1.15E+00,4.00E+00,2.84E+00,1.03E-01
3.30E+01,3.14E+03,4.11E+00,3.14E-01,1.15E+00,2.00E+00,2.74E+00,2.15E-01
3.13E+01,3.12E+03,4.06E+00,4.41E-01,1.15E+00,1.50E+00,2.61E+00,3.00E-01
2.91E+01,3.10E+03,3.99E+00,5.65E-01,1.15E+00,1.25E+00,2.46E+00,3.83E-01
2.64E+01,3.06E+03,3.89E+00,7.03E-01,1.15E+00,1.10E+00,2.25E+00,4.74E-01
9.84E+00,2.70E+03,2.99E+00,1.54E+00,1.17E+00,1.25E+00,9.63E-01,9.76E-01
7.00E+00,2.57E+03,2.75E+00,1.75E+00,1.18E+00,1.50E+00,7.21E-01,1.09E+00
4.36E+00,2.40E+03,2.50E+00,2.02E+00,1.19E+00,2.00E+00,4.83E-01,1.22E+00
2.36E+00,2.17E+03,2.31E+00,2.36E+00,1.20E+00,3.00E+00,2.89E-01,1.35E+00
1.56E+00,2.03E+03,2.23E+00,2.58E+00,1.21E+00,4.00E+00,2.05E-01,1.43E+00
1.14E+00,1.92E+03,2.19E+00,2.74E+00,1.21E+00,5.00E+00,1.58E-01,1.49E+00
8.86E-01,1.84E+03,2.17E+00,2.88E+00,1.21E+00,6.00E+00,1.28E-01,1.53E+00
