,t,bt,h,m_wet
0,2000.0,10.0,3153.0,45.44825092670725
1,2000.0,11.428571428571429,3533.0,49.401572487665426
2,2000.0,12.857142857142858,3861.0,53.36489404862361
3,2000.0,14.285714285714285,4172.0,57.31821560958178
4,2000.0,15.714285714285715,4505.0,61.271537170539965
5,2000.0,17.142857142857142,4785.0,65.22485873149813
6,2000.0,18.57142857142857,5048.0,69.17818029245632
7,2000.0,20.0,5294.0,73.13150185341449
8,2500.0,10.0,3706.0,52.36906365838406
9,2500.0,11.428571428571429,4145.0,57.31821560958178
10,2500.0,12.857142857142858,4523.0,62.267367560779505
11,2500.0,14.285714285714285,4882.0,67.21651951197722
12,2500.0,15.714285714285715,5265.0,72.16567146317495
13,2500.0,17.142857142857142,5585.0,77.11482341437268
14,2500.0,18.57142857142857,5885.0,82.0539753655704
15,2500.0,20.0,6164.0,87.00312731676813
16,3000.0,10.0,4211.0,59.31987639006087
17,3000.0,11.428571428571429,4706.0,65.25485873149813
18,3000.0,12.857142857142858,5129.0,71.1798410729354
19,3000.0,14.285714285714285,5530.0,77.11482341437268
20,3000.0,15.714285714285715,5959.0,83.04980575580996
21,3000.0,17.142857142857142,6314.0,88.98478809724722
22,3000.0,18.57142857142857,6646.0,94.90977043868448
23,3000.0,20.0,7003.0,100.84475278012175
24,3500.0,10.0,4684.0,66.26068912173767
25,3500.0,11.428571428571429,5229.0,73.1815018534145
26,3500.0,12.857142857142858,5694.0,80.1023145850913
27,3500.0,14.285714285714285,6132.0,87.03312731676812
28,3500.0,15.714285714285715,6602.0,93.95394004844495
29,3500.0,17.142857142857142,6987.0,100.87475278012174
30,3500.0,18.57142857142857,7346.0,107.79556551179856
31,3500.0,20.0,7732.0,114.72637824347538
32,4000.0,10.0,5133.0,73.13150185341449
33,4000.0,11.428571428571429,5726.0,81.04814497533086
34,4000.0,12.857142857142858,6229.0,88.95478809724722
35,4000.0,14.285714285714285,6703.0,96.87143121916357
36,4000.0,15.714285714285715,7209.0,104.77807434107993
37,4000.0,17.142857142857142,7622.0,112.68471746299628
38,4000.0,18.57142857142857,8003.0,120.60136058491263
39,4000.0,20.0,8506.0,127.248003706829
